Window,Non-Window,Sec-Non-Window,Sec-Window
1.0,60,61,120.0
2.0,59,62,119.0
3.0,58,63,118.0
4.0,57,64,117.0
5.0,56,65,116.0
6.0,55,66,115.0
7.0,54,67,114.0
8.0,53,68,113.0
9.0,52,69,112.0
10.0,51,70,111.0
11.0,50,71,110.0
12.0,49,72,109.0
13.0,48,73,108.0
14.0,47,74,107.0
15.0,46,75,106.0
,45,76,
,44,77,
,43,78,
,42,79,
,41,80,
,40,81,
,39,82,
,38,83,
,37,84,
,36,85,
,35,86,
,34,87,
,33,88,
,32,89,
,31,90,
,30,91,
,29,92,
,28,93,
,27,94,
,26,95,
,25,96,
,24,97,
,23,98,
,22,99,
,21,100,
,20,101,
,19,102,
,18,103,
,17,104,
,16,105,
