Window,Non-Window,Sec-Non-Window,Sec-Window
1.0,62,63.0,123.0
2.0,61,64.0,122.0
3.0,60,65.0,121.0
4.0,59,66.0,120.0
5.0,58,67.0,119.0
6.0,57,68.0,118.0
,56,69.0,
,55,70.0,
,54,71.0,
,53,72.0,
,52,73.0,
,51,74.0,
,50,75.0,
,49,76.0,
,48,77.0,
,47,78.0,
,46,79.0,
,45,80.0,
,44,81.0,
,43,82.0,
,42,83.0,
,41,84.0,
,40,85.0,
,39,86.0,
,38,87.0,
,37,88.0,
,36,89.0,
,35,90.0,
,34,91.0,
,33,92.0,
,32,93.0,
,31,94.0,
,30,95.0,
,29,96.0,
,28,97.0,
,27,98.0,
,26,99.0,
,25,100.0,
,24,101.0,
,23,102.0,
,22,103.0,
,21,104.0,
,20,105.0,
,19,106.0,
,18,107.0,
,17,108.0,
,16,109.0,
,15,110.0,
,14,111.0,
,13,112.0,
,12,113.0,
,11,114.0,
,10,115.0,
,9,116.0,
,8,117.0,
,7,,
