Window,Non-Window,Sec-Non-Window,Sec-Window
1,225,226,450
2,224,227,449
3,223,228,448
4,222,229,447
5,221,230,446
6,220,231,445
,219,232,
,218,233,
,217,234,
,216,235,
,215,236,
,214,237,
,213,238,
,212,239,
,211,240,
,210,241,
,209,242,
,208,243,
,207,244,
,206,245,
,205,246,
,204,247,
,203,248,
,202,249,
,201,250,
,200,251,
,199,252,
,198,253,
,197,254,
,196,255,
,195,256,
,194,257,
,193,258,
,192,259,
,191,260,
,190,261,
,189,262,
,188,263,
,187,264,
,186,265,
,185,266,
,184,267,
,183,268,
,182,269,
,181,270,
,180,271,
,179,272,
,178,273,
,177,274,
,176,275,
,175,276,
,174,277,
,173,278,
,172,279,
,171,280,
,170,281,
,169,282,
,168,283,
,167,284,
,166,285,
,165,286,
,164,287,
,163,288,
,162,289,
,161,290,
,160,291,
,159,292,
,158,293,
,157,294,
,156,295,
,155,296,
,154,297,
,153,298,
,152,299,
,151,300,
,150,301,
,149,302,
,148,303,
,147,304,
,146,305,
,145,306,
,144,307,
,143,308,
,142,309,
,141,310,
,140,311,
,139,312,
,138,313,
,137,314,
,136,315,
,135,316,
,134,317,
,133,318,
,132,319,
,131,320,
,130,321,
,129,322,
,128,323,
,127,324,
,126,325,
,125,326,
,124,327,
,123,328,
,122,329,
,121,330,
,120,331,
,119,332,
,118,333,
,117,334,
,116,335,
,115,336,
,114,337,
,113,338,
,112,339,
,111,340,
,110,341,
,109,342,
,108,343,
,107,344,
,106,345,
,105,346,
,104,347,
,103,348,
,102,349,
,101,350,
,100,351,
,99,352,
,98,353,
,97,354,
,96,355,
,95,356,
,94,357,
,93,358,
,92,359,
,91,360,
,90,361,
,89,362,
,88,363,
,87,364,
,86,365,
,85,366,
,84,367,
,83,368,
,82,369,
,81,370,
,80,371,
,79,372,
,78,373,
,77,374,
,76,375,
,75,376,
,74,377,
,73,378,
,72,379,
,71,380,
,70,381,
,69,382,
,68,383,
,67,384,
,66,385,
,65,386,
,64,387,
,63,388,
,62,389,
,61,390,
,60,391,
,59,392,
,58,393,
,57,394,
,56,395,
,55,396,
,54,397,
,53,398,
,52,399,
,51,400,
,50,401,
,49,402,
,48,403,
,47,404,
,46,405,
,45,406,
,44,407,
,43,408,
,42,409,
,41,410,
,40,411,
,39,412,
,38,413,
,37,414,
,36,415,
,35,416,
,34,417,
,33,418,
,32,419,
,31,420,
,30,421,
,29,422,
,28,423,
,27,424,
,26,425,
,25,426,
,24,427,
,23,428,
,22,429,
,21,430,
,20,431,
,19,432,
,18,433,
,17,434,
,16,435,
,15,436,
,14,437,
,13,438,
,12,439,
,11,440,
,10,441,
,9,442,
,8,443,
,7,444,
