Window,Non-Window,Sec-Non-Window,Sec-Window
1.0,100.0,101.0,200.0
2.0,99.0,102.0,199.0
3.0,98.0,103.0,198.0
4.0,97.0,104.0,197.0
5.0,96.0,105.0,196.0
6.0,95.0,106.0,195.0
7.0,94.0,107.0,194.0
8.0,93.0,108.0,193.0
9.0,92.0,109.0,192.0
10.0,91.0,110.0,191.0
11.0,90.0,111.0,190.0
12.0,89.0,112.0,189.0
13.0,88.0,113.0,188.0
14.0,87.0,114.0,187.0
15.0,86.0,115.0,186.0
16.0,85.0,116.0,185.0
17.0,84.0,117.0,184.0
18.0,83.0,118.0,183.0
19.0,82.0,119.0,182.0
20.0,81.0,120.0,181.0
21.0,80.0,121.0,180.0
22.0,79.0,122.0,179.0
23.0,78.0,123.0,178.0
24.0,77.0,124.0,177.0
25.0,76.0,125.0,176.0
26.0,75.0,126.0,175.0
27.0,74.0,127.0,174.0
28.0,73.0,128.0,173.0
29.0,72.0,129.0,172.0
30.0,71.0,130.0,171.0
31.0,70.0,131.0,170.0
32.0,69.0,132.0,169.0
33.0,68.0,133.0,168.0
34.0,67.0,134.0,167.0
35.0,66.0,135.0,166.0
36.0,,,165.0
37.0,,,164.0
38.0,,,163.0
39.0,,,162.0
40.0,,,161.0
41.0,,,160.0
42.0,,,159.0
43.0,,,158.0
44.0,,,157.0
45.0,,,156.0
46.0,,,155.0
47.0,,,154.0
48.0,,,153.0
49.0,,,152.0
50.0,,,151.0
51.0,,,150.0
52.0,,,149.0
53.0,,,148.0
54.0,,,147.0
55.0,,,146.0
56.0,,,145.0
57.0,,,144.0
58.0,,,143.0
59.0,,,142.0
60.0,,,141.0
61.0,,,140.0
62.0,,,139.0
63.0,,,138.0
64.0,,,137.0
65.0,,,136.0
