Window,Non-Window,Sec-Non-Window,Sec-Window
1.0,128,129,256.0
2.0,127,130,255.0
3.0,126,131,254.0
4.0,125,132,253.0
5.0,124,133,252.0
6.0,123,134,251.0
,122,135,
,121,136,
,120,137,
,119,138,
,118,139,
,117,140,
,116,141,
,115,142,
,114,143,
,113,144,
,112,145,
,111,146,
,110,147,
,109,148,
,108,149,
,107,150,
,106,151,
,105,152,
,104,153,
,103,154,
,102,155,
,101,156,
,100,157,
,99,158,
,98,159,
,97,160,
,96,161,
,95,162,
,94,163,
,93,164,
,92,165,
,91,166,
,90,167,
,89,168,
,88,169,
,87,170,
,86,171,
,85,172,
,84,173,
,83,174,
,82,175,
,81,176,
,80,177,
,79,178,
,78,179,
,77,180,
,76,181,
,75,182,
,74,183,
,73,184,
,72,185,
,71,186,
,70,187,
,69,188,
,68,189,
,67,190,
,66,191,
,65,192,
,64,193,
,63,194,
,62,195,
,61,196,
,60,197,
,59,198,
,58,199,
,57,200,
,56,201,
,55,202,
,54,203,
,53,204,
,52,205,
,51,206,
,50,207,
,49,208,
,48,209,
,47,210,
,46,211,
,45,212,
,44,213,
,43,214,
,42,215,
,41,216,
,40,217,
,39,218,
,38,219,
,37,220,
,36,221,
,35,222,
,34,223,
,33,224,
,32,225,
,31,226,
,30,227,
,29,228,
,28,229,
,27,230,
,26,231,
,25,232,
,24,233,
,23,234,
,22,235,
,21,236,
,20,237,
,19,238,
,18,239,
,17,240,
,16,241,
,15,242,
,14,243,
,13,244,
,12,245,
,11,246,
,10,247,
,9,248,
,8,249,
,7,250,
