Window,Non-Window,Sec-Non-Window,Sec-Window
1,224,225,450
2,223,226,449
3,222,227,448
4,221,228,447
5,220,229,446
6,219,230,445
7,218,231,444
8,217,232,443
9,216,233,442
10,215,234,441
11,214,235,440
12,213,236,439
13,212,237,438
14,211,238,437
15,210,239,436
16,209,240,435
17,208,241,434
18,207,242,433
19,206,243,432
20,205,244,431
21,204,245,430
22,203,246,429
23,202,247,428
24,201,248,427
25,200,249,426
26,199,250,425
27,198,251,424
28,197,252,423
29,196,253,422
30,195,254,421
31,194,255,420
32,193,256,419
33,192,257,418
34,191,258,417
35,190,259,416
36,189,260,415
37,188,261,414
38,187,262,413
39,186,263,412
40,185,264,411
41,184,265,410
42,183,266,409
43,182,267,408
44,181,268,407
45,180,269,406
46,179,270,405
47,178,271,404
48,177,272,403
49,176,273,402
50,175,274,401
51,174,275,400
52,173,276,399
53,172,277,398
54,171,278,397
55,170,279,396
56,169,280,395
57,168,281,394
58,167,282,393
59,166,283,392
60,165,284,391
61,164,285,390
62,163,286,389
,162,287,388
,161,288,387
,160,289,
,159,290,
,158,291,
,157,292,
,156,293,
,155,294,
,154,295,
,153,296,
,152,297,
,151,298,
,150,299,
,149,300,
,148,301,
,147,302,
,146,303,
,145,304,
,144,305,
,143,306,
,142,307,
,141,308,
,140,309,
,139,310,
,138,311,
,137,312,
,136,313,
,135,314,
,134,315,
,133,316,
,132,317,
,131,318,
,130,319,
,129,320,
,128,321,
,127,322,
,126,323,
,125,324,
,124,325,
,123,326,
,122,327,
,121,328,
,120,329,
,119,330,
,118,331,
,117,332,
,116,333,
,115,334,
,114,335,
,113,336,
,112,337,
,111,338,
,110,339,
,109,340,
,108,341,
,107,342,
,106,343,
,105,344,
,104,345,
,103,346,
,102,347,
,101,348,
,100,349,
,99,350,
,98,351,
,97,352,
,96,353,
,95,354,
,94,355,
,93,356,
,92,357,
,91,358,
,90,359,
,89,360,
,88,361,
,87,362,
,86,363,
,85,364,
,84,365,
,83,366,
,82,367,
,81,368,
,80,369,
,79,370,
,78,371,
,77,372,
,76,373,
,75,374,
,74,375,
,73,376,
,72,377,
,71,378,
,70,379,
,69,380,
,68,381,
,67,382,
,66,383,
,65,384,
,64,385,
,63,386,
