Window,Non-Window,Sec-Non-Window,Sec-Window
1,175,176,350
2,174,177,349
3,173,178,348
4,172,179,347
5,171,180,346
6,170,181,345
7,169,182,344
8,168,183,343
9,167,184,342
10,166,185,341
11,165,186,340
12,164,187,339
13,163,188,338
14,162,189,337
15,161,190,336
16,160,191,335
17,159,192,334
18,158,193,333
19,157,194,332
20,156,195,331
21,155,196,330
22,154,197,329
23,153,198,328
24,152,199,327
25,151,200,326
26,150,201,325
27,149,202,324
28,148,203,323
29,147,204,322
30,146,205,321
31,145,206,320
32,144,207,319
33,143,208,318
34,142,209,317
35,141,210,316
36,140,211,315
37,139,212,314
38,138,213,313
39,137,214,312
40,136,215,311
41,135,216,310
42,134,217,309
43,133,218,308
44,132,219,307
45,131,220,306
46,130,221,305
47,129,222,304
48,128,223,303
49,127,224,302
50,126,225,301
51,125,226,300
52,124,227,299
53,123,228,298
54,122,229,297
55,121,230,296
56,120,231,295
57,119,232,294
58,118,233,293
59,117,234,292
60,116,235,291
-9223372036854775808,115,236,-9223372036854775808
-9223372036854775808,114,237,-9223372036854775808
-9223372036854775808,113,238,-9223372036854775808
-9223372036854775808,112,239,-9223372036854775808
-9223372036854775808,111,240,-9223372036854775808
-9223372036854775808,110,241,-9223372036854775808
-9223372036854775808,109,242,-9223372036854775808
-9223372036854775808,108,243,-9223372036854775808
-9223372036854775808,107,244,-9223372036854775808
-9223372036854775808,106,245,-9223372036854775808
-9223372036854775808,105,246,-9223372036854775808
-9223372036854775808,104,247,-9223372036854775808
-9223372036854775808,103,248,-9223372036854775808
-9223372036854775808,102,249,-9223372036854775808
-9223372036854775808,101,250,-9223372036854775808
-9223372036854775808,100,251,-9223372036854775808
-9223372036854775808,99,252,-9223372036854775808
-9223372036854775808,98,253,-9223372036854775808
-9223372036854775808,97,254,-9223372036854775808
-9223372036854775808,96,255,-9223372036854775808
-9223372036854775808,95,256,-9223372036854775808
-9223372036854775808,94,257,-9223372036854775808
-9223372036854775808,93,258,-9223372036854775808
-9223372036854775808,92,259,-9223372036854775808
-9223372036854775808,91,260,-9223372036854775808
-9223372036854775808,90,261,-9223372036854775808
-9223372036854775808,89,262,-9223372036854775808
-9223372036854775808,88,263,-9223372036854775808
-9223372036854775808,87,264,-9223372036854775808
-9223372036854775808,86,265,-9223372036854775808
-9223372036854775808,85,266,-9223372036854775808
-9223372036854775808,84,267,-9223372036854775808
-9223372036854775808,83,268,-9223372036854775808
-9223372036854775808,82,269,-9223372036854775808
-9223372036854775808,81,270,-9223372036854775808
-9223372036854775808,80,271,-9223372036854775808
-9223372036854775808,79,272,-9223372036854775808
-9223372036854775808,78,273,-9223372036854775808
-9223372036854775808,77,274,-9223372036854775808
-9223372036854775808,76,275,-9223372036854775808
-9223372036854775808,75,276,-9223372036854775808
-9223372036854775808,74,277,-9223372036854775808
-9223372036854775808,73,278,-9223372036854775808
-9223372036854775808,72,279,-9223372036854775808
-9223372036854775808,71,280,-9223372036854775808
-9223372036854775808,70,281,-9223372036854775808
-9223372036854775808,69,282,-9223372036854775808
-9223372036854775808,68,283,-9223372036854775808
-9223372036854775808,67,284,-9223372036854775808
-9223372036854775808,66,285,-9223372036854775808
-9223372036854775808,65,286,-9223372036854775808
-9223372036854775808,64,287,-9223372036854775808
-9223372036854775808,63,288,-9223372036854775808
-9223372036854775808,62,289,-9223372036854775808
-9223372036854775808,61,290,-9223372036854775808
