Window,Non-Window,Sec-Non-Window,Sec-Window
1.0,225,226,450.0
2.0,224,227,449.0
3.0,223,228,448.0
4.0,222,229,447.0
5.0,221,230,446.0
6.0,220,231,445.0
7.0,219,232,444.0
8.0,218,233,443.0
9.0,217,234,442.0
10.0,216,235,441.0
11.0,215,236,440.0
12.0,214,237,439.0
13.0,213,238,438.0
14.0,212,239,437.0
15.0,211,240,436.0
16.0,210,241,435.0
17.0,209,242,434.0
18.0,208,243,433.0
19.0,207,244,432.0
20.0,206,245,431.0
21.0,205,246,430.0
22.0,204,247,429.0
23.0,203,248,428.0
24.0,202,249,427.0
25.0,201,250,426.0
26.0,200,251,425.0
27.0,199,252,424.0
28.0,198,253,423.0
29.0,197,254,422.0
30.0,196,255,421.0
31.0,195,256,420.0
32.0,194,257,419.0
33.0,193,258,418.0
34.0,192,259,417.0
35.0,191,260,416.0
36.0,190,261,415.0
37.0,189,262,414.0
38.0,188,263,413.0
39.0,187,264,412.0
40.0,186,265,411.0
41.0,185,266,410.0
42.0,184,267,409.0
43.0,183,268,408.0
44.0,182,269,407.0
45.0,181,270,406.0
46.0,180,271,405.0
47.0,179,272,404.0
48.0,178,273,403.0
49.0,177,274,402.0
50.0,176,275,401.0
51.0,175,276,400.0
52.0,174,277,399.0
53.0,173,278,398.0
54.0,172,279,397.0
55.0,171,280,396.0
56.0,170,281,395.0
57.0,169,282,394.0
58.0,168,283,393.0
59.0,167,284,392.0
60.0,166,285,391.0
,165,286,
,164,287,
,163,288,
,162,289,
,161,290,
,160,291,
,159,292,
,158,293,
,157,294,
,156,295,
,155,296,
,154,297,
,153,298,
,152,299,
,151,300,
,150,301,
,149,302,
,148,303,
,147,304,
,146,305,
,145,306,
,144,307,
,143,308,
,142,309,
,141,310,
,140,311,
,139,312,
,138,313,
,137,314,
,136,315,
,135,316,
,134,317,
,133,318,
,132,319,
,131,320,
,130,321,
,129,322,
,128,323,
,127,324,
,126,325,
,125,326,
,124,327,
,123,328,
,122,329,
,121,330,
,120,331,
,119,332,
,118,333,
,117,334,
,116,335,
,115,336,
,114,337,
,113,338,
,112,339,
,111,340,
,110,341,
,109,342,
,108,343,
,107,344,
,106,345,
,105,346,
,104,347,
,103,348,
,102,349,
,101,350,
,100,351,
,99,352,
,98,353,
,97,354,
,96,355,
,95,356,
,94,357,
,93,358,
,92,359,
,91,360,
,90,361,
,89,362,
,88,363,
,87,364,
,86,365,
,85,366,
,84,367,
,83,368,
,82,369,
,81,370,
,80,371,
,79,372,
,78,373,
,77,374,
,76,375,
,75,376,
,74,377,
,73,378,
,72,379,
,71,380,
,70,381,
,69,382,
,68,383,
,67,384,
,66,385,
,65,386,
,64,387,
,63,388,
,62,389,
,61,390,
