Window,Non-Window,Sec-Non-Window,Sec-Window
1,225.0,226.0,450
2,224.0,227.0,449
3,223.0,228.0,448
4,222.0,229.0,447
5,221.0,230.0,446
6,220.0,231.0,445
7,219.0,232.0,444
8,218.0,233.0,443
9,217.0,234.0,442
10,216.0,235.0,441
11,215.0,236.0,440
12,214.0,237.0,439
13,213.0,238.0,438
14,212.0,239.0,437
15,211.0,240.0,436
16,210.0,241.0,435
17,209.0,242.0,434
18,208.0,243.0,433
19,207.0,244.0,432
20,206.0,245.0,431
21,205.0,246.0,430
22,204.0,247.0,429
23,203.0,248.0,428
24,202.0,249.0,427
25,201.0,250.0,426
26,200.0,251.0,425
27,199.0,252.0,424
28,198.0,253.0,423
29,197.0,254.0,422
30,196.0,255.0,421
31,195.0,256.0,420
32,194.0,257.0,419
33,193.0,258.0,418
34,192.0,259.0,417
35,191.0,260.0,416
36,190.0,261.0,415
37,189.0,262.0,414
38,188.0,263.0,413
39,187.0,264.0,412
40,186.0,265.0,411
41,185.0,266.0,410
42,184.0,267.0,409
43,183.0,268.0,408
44,182.0,269.0,407
45,181.0,270.0,406
46,180.0,271.0,405
47,179.0,272.0,404
48,178.0,273.0,403
49,177.0,274.0,402
50,176.0,275.0,401
51,175.0,276.0,400
52,174.0,277.0,399
53,173.0,278.0,398
54,172.0,279.0,397
55,171.0,280.0,396
56,170.0,281.0,395
57,169.0,282.0,394
58,168.0,283.0,393
59,167.0,284.0,392
60,166.0,285.0,391
61,165.0,286.0,390
62,164.0,287.0,389
63,163.0,288.0,388
64,162.0,289.0,387
65,161.0,290.0,386
66,160.0,291.0,385
67,159.0,292.0,384
68,158.0,293.0,383
69,157.0,294.0,382
70,156.0,295.0,381
71,155.0,296.0,380
72,154.0,297.0,379
73,153.0,298.0,378
74,152.0,299.0,377
75,151.0,300.0,376
76,150.0,301.0,375
77,149.0,302.0,374
78,148.0,303.0,373
79,147.0,304.0,372
80,146.0,305.0,371
81,145.0,306.0,370
82,144.0,307.0,369
83,143.0,308.0,368
84,142.0,309.0,367
85,141.0,310.0,366
86,140.0,311.0,365
87,139.0,312.0,364
88,138.0,313.0,363
89,137.0,314.0,362
90,136.0,315.0,361
91,135.0,316.0,360
92,134.0,317.0,359
93,133.0,318.0,358
94,132.0,319.0,357
95,131.0,320.0,356
96,130.0,321.0,355
97,129.0,322.0,354
98,128.0,323.0,353
99,127.0,324.0,352
100,126.0,325.0,351
101,,,350
102,,,349
103,,,348
104,,,347
105,,,346
106,,,345
107,,,344
108,,,343
109,,,342
110,,,341
111,,,340
112,,,339
113,,,338
114,,,337
115,,,336
116,,,335
117,,,334
118,,,333
119,,,332
120,,,331
121,,,330
122,,,329
123,,,328
124,,,327
125,,,326
