Window,Non-Window,Sec-Non-Window,Sec-Window
1.0,61,62.0,120.0
2.0,60,63.0,119.0
3.0,59,64.0,118.0
4.0,58,65.0,117.0
5.0,57,66.0,116.0
6.0,56,67.0,115.0
7.0,55,68.0,114.0
8.0,54,69.0,113.0
9.0,53,70.0,112.0
10.0,52,71.0,111.0
11.0,51,72.0,110.0
12.0,50,73.0,
,49,74.0,
,48,75.0,
,47,76.0,
,46,77.0,
,45,78.0,
,44,79.0,
,43,80.0,
,42,81.0,
,41,82.0,
,40,83.0,
,39,84.0,
,38,85.0,
,37,86.0,
,36,87.0,
,35,88.0,
,34,89.0,
,33,90.0,
,32,91.0,
,31,92.0,
,30,93.0,
,29,94.0,
,28,95.0,
,27,96.0,
,26,97.0,
,25,98.0,
,24,99.0,
,23,100.0,
,22,101.0,
,21,102.0,
,20,103.0,
,19,104.0,
,18,105.0,
,17,106.0,
,16,107.0,
,15,108.0,
,14,109.0,
,13,,
